school,count
THPT Hùng Thắng,87
THPT Võ Nhai,87
Trường THPT Thanh Thuỷ,86
THPT Phạm Ngũ Lão,86
THPT  Nguyễn Văn Cừ,86
THPT Nam Đồng Quan,86
THPT Sơn Hà,86
THPT Nghĩa Lộ,86
Trường THCS&THPT; DTNT Liên huyên phia Nam,85
THPT Ông ích Khiêm,85
THPT Kiến Thụy,85
THPT  Phan Đình Phùng,85
THPT Dương Quang Đông,85
THPT Hà Huy Giáp,84
THPT Quan Sơn 2,84
THPT Long Bình,84
THPT Châu Phong,84
Trường THPT Nguyễn Tất Thành,84
THPT Nghi Lộc 5,84
THPT Nhã Nam,84
Trường THPT Vĩnh Chân,83
THPT chuyên Hà Tĩnh,83
THPT Long Thành,83
Trường THPT Hùng Vương,83
Trường THPT Nguyễn Thái Học,83
TTGDTX Tân Kỳ,83
THPT DL Đô Lương 1,83
Trung tâm GDTX Tam Nông,83
Trường THPT Văn Miếu,82
Trung tâm GDTX huyện Mỏ Cày Nam,82
THPT Củ Chi,82
THPT Hoài Ân,81
THPT  Âp Bắc,81
THPT Phú Hưng,80
THPT Trần Cao Vân,80
THPT Vân Nội,80
THPT Marie Curie,80
THPT Hòa Ninh – Di Linh,79
THPT Yên Phong 1,79
THPT Buôn Hồ,79
THPT Ngã Sáu,78
THPT Lê Quý Đôn -Đạ Tẻh,78
THPT Lê Anh Xuân,78
Trường THPT Mai Sơn,78
THPT  Hoàng Diệu,78
THPT Tháp Chàm,78
THPT Kỳ Lâm,77
THPT Tràm Chim,77
THPT Bình Gia,76
THPT Chế Lan Viên,76
THPT Nguyễn Hữu Tiến,76
THPT Mai Anh Tuấn,76
TTGDTX Quận 10,76
THPT dân tộc nội trú tỉnh,76
THPT Tứ Kỳ,76
THPT An Lương Đông,75
THPT Cát Bà,75
THPT Lạc Thuỷ C,75
THPT Cẩm Giàng 2,75
THPT Số 2 An Nhơn,74
TTGD TT Phú Xuyên,74
Trường THPT Herman,74
THPT Diễn Châu 2,74
THPT Gò Công Đông,74
THPT Xuân Vân,74
THPT Gò Đen,73
THPT Cảm Ân,73
THPT Cầu Xe,73
THPT Số 1 Sa Pa,73
THPT Thống Nhất,73
TT GDTX Chi Lăng,73
THPT số 3 Tp Lào Cai,72
THPT Phạm Thái Bường,72
TTGDTX A Lưới,72
THPT Lê Thánh Tôn,72
THPT Quảng Ninh,71
THPT Lê Lai,71
THPT Buôn Ma Thuột,71
THPT Ng Hữu Huân,71
THPT Mường Quạ,71
PTDT nội trú THCS và THPT H.Mường Khương,71
THPT Nguyễn Quán Nho,70
TT.GDTX&KTTH-HN; Đức Huệ,70
THPT Tây Hồ,69
TTGDTX Quận 7,69
THPT Tư thục Mai Hắc Đế,69
THPT số 5 Bố Trạch,69
TTDN - GDTX & hướng nghiệp Bình Sơn,69
THPT Đức Thọ,69
THPT Anh Sơn 3,69
THPT Lương Tài  2,68
THPT Tam Nông,68
THPT Tân Hiệp,68
"THPT Chu Văn An,",68
TTGDTX- KTHN H. Phú Giáo,68
THPT Sơn Tây,67
THPT Gia Hội,67
THPT Dân tộc Nội trú Thanh Hóa,67
THPT  Trần Quý Cáp,67
THPT Nguyễn Tất Thành,67
THPT Tam Quan,67
TTGDTX  Châu Thành,67
THPT số 2 Văn Bàn,67
THPT Thăng Long,67
THPT Thái Hòa,67
THPT số 1 Mường Khương,66
THPT Thanh Đa,66
Trường THPT Tân Lang,66
THPT Võ Lai,65
THCS - THPT Minh Hóa,65
THPT Hậu Lộc 1,65
THPT Chuyên Lương Văn Tụy,65
THPT Trà Cú,65
THPT Hậu Lộc 4,65
THPT An Thới,64
THPT Nguyễn Hữu Cầu,64
TTGDTX   Dương Minh Châu,64
THPT Kim Anh,64
THCS & THPT Bình Phong Thạnh,64
THPT Gia Viễn C,63
TT GDTX TP. Hải Dương,63
THPT Quan Hóa,63
THPT Lâp Vò 2,62
THPT Dào San,62
THPT Nội trú Đắk Song,62
THPT BC Lê Quí Đôn,61
THPT Châu Thành 1,61
THPT  Chuyên Lê Quý Đôn,61
Trường THPT Thạch Kiệt,61
THPT Ba Bể,61
THPT Hà Đông,61
THPT Vĩnh Hưng,61
THPT  Trần Trường Sinh,61
THPT DTNT Vĩnh Thạnh,60
THPT Cầu Ngang A,60
THCS & THPT Hậu Thạnh Đông,60
THPT Bình Phú,60
THPT Từ Sơn,60
THPT  Huỳnh Thúc Kháng,60
TTHNGDTX Uông Bí,60
THPT Ngọc Hiển,60
THPT Tú Đoạn,59
THPT Định Hoá,59
THPT Vũ Lễ,59
